day_order,day,tray_no,tray,capture_id,cell_id,row,column,x0,y0,x1,y1,inner_x0,inner_y0,inner_x1,inner_y1,green_pixels,total_inner_pixels,green_ratio,green_cover_percent,mean_green_strength,maximum_green_strength,largest_green_cluster,raw_visible_green,newly_emerged_today,tracked_emerged
1,Day 1,1,Tray 1,DJI_20260618123542_0001,47,5,7,720,480,840,600,734,494,826,586,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,48,5,8,840,480,960,600,854,494,946,586,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,49,5,9,960,480,1080,600,974,494,1066,586,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,50,5,10,1080,480,1200,600,1094,494,1186,586,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,51,6,1,0,600,120,720,14,614,106,706,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,52,6,2,120,600,240,720,134,614,226,706,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,53,6,3,240,600,360,720,254,614,346,706,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,54,6,4,360,600,480,720,374,614,466,706,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,55,6,5,480,600,600,720,494,614,586,706,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,56,6,6,600,600,720,720,614,614,706,706,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,57,6,7,720,600,840,720,734,614,826,706,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,58,6,8,840,600,960,720,854,614,946,706,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,59,6,9,960,600,1080,720,974,614,1066,706,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,60,6,10,1080,600,1200,720,1094,614,1186,706,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,61,7,1,0,720,120,840,14,734,106,826,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,62,7,2,120,720,240,840,134,734,226,826,49,8464,0.0057892249527410206,0.5789224952741021,79.40816497802734,112.0,49,True,True,True
1,Day 1,1,Tray 1,DJI_20260618123542_0001,63,7,3,240,720,360,840,254,734,346,826,1,8464,0.00011814744801512288,0.011814744801512287,23.0,23.0,1,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,64,7,4,360,720,480,840,374,734,466,826,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,65,7,5,480,720,600,840,494,734,586,826,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,66,7,6,600,720,720,840,614,734,706,826,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,67,7,7,720,720,840,840,734,734,826,826,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,68,7,8,840,720,960,840,854,734,946,826,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,69,7,9,960,720,1080,840,974,734,1066,826,1,8464,0.00011814744801512288,0.011814744801512287,12.0,12.0,1,False,False,False
1,Day 1,1,Tray 1,DJI_20260618123542_0001,70,7,10,1080,720,1200,840,1094,734,1186,826,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,1,1,1,0,0,120,120,14,14,106,106,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,2,1,2,120,0,240,120,134,14,226,106,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,3,1,3,240,0,360,120,254,14,346,106,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,4,1,4,360,0,480,120,374,14,466,106,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,5,1,5,480,0,600,120,494,14,586,106,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,6,1,6,600,0,720,120,614,14,706,106,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,7,1,7,720,0,840,120,734,14,826,106,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,8,1,8,840,0,960,120,854,14,946,106,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,9,1,9,960,0,1080,120,974,14,1066,106,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,10,1,10,1080,0,1200,120,1094,14,1186,106,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,11,2,1,0,120,120,240,14,134,106,226,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,12,2,2,120,120,240,240,134,134,226,226,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,13,2,3,240,120,360,240,254,134,346,226,18,8464,0.0021266540642722116,0.21266540642722118,68.16666412353516,86.0,18,True,True,True
1,Day 1,2,Tray 2,DJI_20260618123812_0002,14,2,4,360,120,480,240,374,134,466,226,6,8464,0.0007088846880907373,0.07088846880907373,21.83333396911621,31.0,5,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,15,2,5,480,120,600,240,494,134,586,226,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,16,2,6,600,120,720,240,614,134,706,226,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,17,2,7,720,120,840,240,734,134,826,226,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,18,2,8,840,120,960,240,854,134,946,226,7,8464,0.0008270321361058601,0.08270321361058601,75.42857360839844,91.0,7,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,19,2,9,960,120,1080,240,974,134,1066,226,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,20,2,10,1080,120,1200,240,1094,134,1186,226,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,21,3,1,0,240,120,360,14,254,106,346,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,22,3,2,120,240,240,360,134,254,226,346,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,23,3,3,240,240,360,360,254,254,346,346,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,24,3,4,360,240,480,360,374,254,466,346,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,25,3,5,480,240,600,360,494,254,586,346,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,26,3,6,600,240,720,360,614,254,706,346,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,27,3,7,720,240,840,360,734,254,826,346,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,28,3,8,840,240,960,360,854,254,946,346,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,29,3,9,960,240,1080,360,974,254,1066,346,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,30,3,10,1080,240,1200,360,1094,254,1186,346,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,31,4,1,0,360,120,480,14,374,106,466,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,32,4,2,120,360,240,480,134,374,226,466,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,33,4,3,240,360,360,480,254,374,346,466,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,34,4,4,360,360,480,480,374,374,466,466,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,35,4,5,480,360,600,480,494,374,586,466,54,8464,0.006379962192816635,0.6379962192816635,73.5,109.0,54,True,True,True
1,Day 1,2,Tray 2,DJI_20260618123812_0002,36,4,6,600,360,720,480,614,374,706,466,53,8464,0.006261814744801512,0.6261814744801513,62.26415252685547,111.0,53,True,True,True
1,Day 1,2,Tray 2,DJI_20260618123812_0002,37,4,7,720,360,840,480,734,374,826,466,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,38,4,8,840,360,960,480,854,374,946,466,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,39,4,9,960,360,1080,480,974,374,1066,466,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,40,4,10,1080,360,1200,480,1094,374,1186,466,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,41,5,1,0,480,120,600,14,494,106,586,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,42,5,2,120,480,240,600,134,494,226,586,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,43,5,3,240,480,360,600,254,494,346,586,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,44,5,4,360,480,480,600,374,494,466,586,91,8464,0.010751417769376182,1.0751417769376181,85.34066009521484,127.0,91,True,True,True
1,Day 1,2,Tray 2,DJI_20260618123812_0002,45,5,5,480,480,600,600,494,494,586,586,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,46,5,6,600,480,720,600,614,494,706,586,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,47,5,7,720,480,840,600,734,494,826,586,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,48,5,8,840,480,960,600,854,494,946,586,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,49,5,9,960,480,1080,600,974,494,1066,586,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,50,5,10,1080,480,1200,600,1094,494,1186,586,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,51,6,1,0,600,120,720,14,614,106,706,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,52,6,2,120,600,240,720,134,614,226,706,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,53,6,3,240,600,360,720,254,614,346,706,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,54,6,4,360,600,480,720,374,614,466,706,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,55,6,5,480,600,600,720,494,614,586,706,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,56,6,6,600,600,720,720,614,614,706,706,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,57,6,7,720,600,840,720,734,614,826,706,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,58,6,8,840,600,960,720,854,614,946,706,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,59,6,9,960,600,1080,720,974,614,1066,706,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,60,6,10,1080,600,1200,720,1094,614,1186,706,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,61,7,1,0,720,120,840,14,734,106,826,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,62,7,2,120,720,240,840,134,734,226,826,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,63,7,3,240,720,360,840,254,734,346,826,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,64,7,4,360,720,480,840,374,734,466,826,61,8464,0.0072069943289224956,0.7206994328922496,84.31147766113281,124.0,61,True,True,True
1,Day 1,2,Tray 2,DJI_20260618123812_0002,65,7,5,480,720,600,840,494,734,586,826,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,66,7,6,600,720,720,840,614,734,706,826,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,67,7,7,720,720,840,840,734,734,826,826,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,68,7,8,840,720,960,840,854,734,946,826,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,69,7,9,960,720,1080,840,974,734,1066,826,1,8464,0.00011814744801512288,0.011814744801512287,12.0,12.0,1,False,False,False
1,Day 1,2,Tray 2,DJI_20260618123812_0002,70,7,10,1080,720,1200,840,1094,734,1186,826,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,3,Tray 3,DJI_20260618124121_0003,1,1,1,0,0,120,120,14,14,106,106,225,8464,0.026583175803402647,2.6583175803402646,96.98666381835938,132.0,225,True,True,True
1,Day 1,3,Tray 3,DJI_20260618124121_0003,2,1,2,120,0,240,120,134,14,226,106,133,8464,0.015713610586011343,1.5713610586011344,99.71428680419922,128.0,133,True,True,True
1,Day 1,3,Tray 3,DJI_20260618124121_0003,3,1,3,240,0,360,120,254,14,346,106,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,3,Tray 3,DJI_20260618124121_0003,4,1,4,360,0,480,120,374,14,466,106,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,3,Tray 3,DJI_20260618124121_0003,5,1,5,480,0,600,120,494,14,586,106,90,8464,0.010633270321361058,1.0633270321361057,93.74444580078125,134.0,90,True,True,True
1,Day 1,3,Tray 3,DJI_20260618124121_0003,6,1,6,600,0,720,120,614,14,706,106,5,8464,0.0005907372400756144,0.05907372400756144,84.0,95.0,5,False,False,False
1,Day 1,3,Tray 3,DJI_20260618124121_0003,7,1,7,720,0,840,120,734,14,826,106,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,3,Tray 3,DJI_20260618124121_0003,8,1,8,840,0,960,120,854,14,946,106,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,3,Tray 3,DJI_20260618124121_0003,9,1,9,960,0,1080,120,974,14,1066,106,143,8464,0.016895085066162573,1.6895085066162572,91.69230651855469,139.0,73,True,True,True
1,Day 1,3,Tray 3,DJI_20260618124121_0003,10,1,10,1080,0,1200,120,1094,14,1186,106,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,3,Tray 3,DJI_20260618124121_0003,11,2,1,0,120,120,240,14,134,106,226,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,3,Tray 3,DJI_20260618124121_0003,12,2,2,120,120,240,240,134,134,226,226,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,3,Tray 3,DJI_20260618124121_0003,13,2,3,240,120,360,240,254,134,346,226,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,3,Tray 3,DJI_20260618124121_0003,14,2,4,360,120,480,240,374,134,466,226,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,3,Tray 3,DJI_20260618124121_0003,15,2,5,480,120,600,240,494,134,586,226,194,8464,0.022920604914933838,2.292060491493384,94.3402099609375,131.0,194,True,True,True
1,Day 1,3,Tray 3,DJI_20260618124121_0003,16,2,6,600,120,720,240,614,134,706,226,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,3,Tray 3,DJI_20260618124121_0003,17,2,7,720,120,840,240,734,134,826,226,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,3,Tray 3,DJI_20260618124121_0003,18,2,8,840,120,960,240,854,134,946,226,55,8464,0.006498109640831758,0.6498109640831757,85.81818389892578,105.0,55,True,True,True
1,Day 1,3,Tray 3,DJI_20260618124121_0003,19,2,9,960,120,1080,240,974,134,1066,226,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,3,Tray 3,DJI_20260618124121_0003,20,2,10,1080,120,1200,240,1094,134,1186,226,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,3,Tray 3,DJI_20260618124121_0003,21,3,1,0,240,120,360,14,254,106,346,135,8464,0.015949905482041588,1.5949905482041586,106.1629638671875,137.0,135,True,True,True
1,Day 1,3,Tray 3,DJI_20260618124121_0003,22,3,2,120,240,240,360,134,254,226,346,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,3,Tray 3,DJI_20260618124121_0003,23,3,3,240,240,360,360,254,254,346,346,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,3,Tray 3,DJI_20260618124121_0003,24,3,4,360,240,480,360,374,254,466,346,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
1,Day 1,3,Tray 3,DJI_20260618124121_0003,25,3,5,480,240,600,360,494,254,586,346,63,8464,0.007443289224952741,0.744328922495274,94.20635223388672,123.0,63,True,True,True
1,Day 1,3,Tray 3,DJI_20260618124121_0003,26,3,6,600,240,720,360,614,254,706,346,180,8464,0.021266540642722116,2.1266540642722114,101.01667022705078,139.0,180,True,True,True
1,Day 1,3,Tray 3,DJI_20260618124121_0003,27,3,7,720,240,840,360,734,254,826,346,0,8464,0.0,0.0,0.0,0.0,0,False,False,False
